NAME,ID,GENRE_NAME,VALUE
top_genres_for_tracks_released_in_2022,G2.7,Afrobeat,39272.0
top_genres_for_tracks_released_in_2022,G2.7,Dance,331209.0
top_genres_for_artists_created_in_2023,G2.2,Musicals,339.0
top_genres_for_artists_created_in_2023,G2.2,Flamenco,118.0
top_genres_for_tracks_released_in_2023,G2.6,Dance,334053.0
top_genres_for_artists_created_in_2023,G2.2,African Dance,85.0
top_genres_for_tracks_released_in_2022,G2.7,African Rock,87.0
top_genres_for_artists_all_time,G2.1,Afrobeat,35986.0
top_genres_for_tracks_released_in_2022,G2.7,Ghazals,168.0
top_genres_for_tracks_all_time,G2.5,Jazz,2538758.0
top_genres_for_tracks_released_in_2022,G2.7,Classic Rock,1551.0
top_genres_for_tracks_released_in_2022,G2.7,Punk,42804.0
top_genres_for_artists_created_in_2023,G2.2,New Age,4726.0
top_genres_for_artists_created_in_2023,G2.2,Forro,6.0
top_genres_for_artists_created_in_2023,G2.2,Holiday,1527.0
top_genres_for_tracks_released_in_2023,G2.6,New Age,68041.0
top_genres_for_tracks_released_in_2023,G2.6,African Children's Music,46.0
top_genres_for_artists_created_in_2023,G2.2,Schlager,77.0
top_genres_for_tracks_released_in_2022,G2.7,Latin Folk,327.0
top_genres_for_artists_created_in_2023,G2.2,Ghazals,7.0
top_genres_for_tracks_released_in_2023,G2.6,Latin,204620.0
top_genres_for_tracks_all_time,G2.5,Singer/Songwriter,2277988.0
top_genres_for_tracks_released_in_2023,G2.6,Hip-Hop/Rap,1022193.0
top_genres_for_artists_created_in_2023,G2.2,Chicago Blues,4.0
top_genres_for_tracks_released_in_2022,G2.7,African Dance,3960.0
top_genres_for_artists_created_in_2023,G2.2,Motown,2.0
top_genres_for_tracks_released_in_2022,G2.7,Arabic Hip-Hop/Rap,65.0
top_new_artist_genre_growth_2022_to_2023,G2.4,House,62.961405
top_genres_for_tracks_released_in_2023,G2.6,Arabic Classical,1.0
top_genres_for_artists_all_time,G2.1,Electronic,638061.0
top_genres_for_artists_all_time,G2.1,Easy Listening,51726.0
top_genres_for_artists_all_time,G2.1,Latin Hip-Hop/Rap,39916.0
top_genres_for_artists_created_in_2023,G2.2,Bluegrass,21.0
top_genres_for_tracks_released_in_2022,G2.7,Pop,509912.0
top_genres_for_tracks_all_time,G2.5,Easy Listening,763277.0
top_genres_for_tracks_released_in_2022,G2.7,Comedy,16047.0
top_genres_for_tracks_released_in_2022,G2.7,Grunge,672.0
top_genres_for_artists_created_in_2023,G2.2,Arabic Dance,4.0
top_genres_for_tracks_released_in_2022,G2.7,Industrial,1812.0
top_genres_for_artists_all_time,G2.1,Christian,189562.0
top_genres_for_artists_all_time,G2.1,Latin Pop,34628.0
top_genres_for_tracks_released_in_2023,G2.6,Soft Rock,621.0
top_new_artist_genre_growth_2022_to_2023,G2.4,Afrobeat,29.184483999999998
top_genres_for_tracks_released_in_2022,G2.7,Americana,1266.0
top_genres_for_tracks_released_in_2023,G2.6,African Dance,4703.0
top_genres_for_artists_created_in_2023,G2.2,Hard Bop,7.0
top_genres_for_tracks_released_in_2022,G2.7,Christian,124010.0
top_genres_for_tracks_released_in_2022,G2.7,Trap,92.0
top_genres_for_artists_created_in_2023,G2.2,Arabic Folk,1.0
top_genres_for_tracks_released_in_2022,G2.7,Techno,39938.0
top_genres_for_artists_created_in_2023,G2.2,Indian Folk,30.0
top_genres_for_artists_created_in_2023,G2.2,Gangsta Rap,480.0
top_genres_for_tracks_all_time,G2.5,Reggae,980100.0
top_genres_for_tracks_released_in_2023,G2.6,Children's Music,26683.0
top_genres_for_tracks_released_in_2023,G2.6,Merengue,72.0
top_genres_for_tracks_released_in_2022,G2.7,African Classical,36.0
top_genres_for_tracks_released_in_2022,G2.7,Worldbeat,1367.0
top_genres_for_tracks_released_in_2023,G2.6,Christian,78751.0
top_genres_for_artists_created_in_2023,G2.2,Blues,2022.0
top_genres_for_artists_created_in_2023,G2.2,Classic Rock,19.0
top_genres_for_tracks_released_in_2023,G2.6,Ambient,29985.0
top_genres_for_artists_all_time,G2.1,Dance,676671.0
top_genres_for_tracks_released_in_2023,G2.6,Bollywood,2329.0
top_genres_for_tracks_all_time,G2.5,Latin,3206585.0
top_genres_for_tracks_released_in_2023,G2.6,Easy Listening,30919.0
top_genres_for_tracks_all_time,G2.5,Electronic,5173126.0
top_genres_for_tracks_released_in_2022,G2.7,Doo Wop,19.0
top_genres_for_tracks_released_in_2023,G2.6,Vocal,16552.0
top_new_artist_genre_growth_2022_to_2023,G2.4,Hip-Hop/Rap,64.948602
top_genres_for_tracks_released_in_2023,G2.6,Rockabilly,219.0
top_new_artist_genre_growth_2022_to_2023,G2.4,Rock,152.21855499999998
top_genres_for_tracks_released_in_2023,G2.6,Gangsta Rap,4168.0
top_genres_for_tracks_released_in_2023,G2.6,Classic Rock,345.0
top_genres_for_artists_created_in_2023,G2.2,African Children's Music,2.0
top_new_artist_genre_growth_2022_to_2023,G2.4,Reggae,99.573701
top_genres_for_artists_created_in_2023,G2.2,Soundtracks,4259.0
top_genres_for_artists_created_in_2023,G2.2,Arabic Pop,176.0
top_genres_for_artists_created_in_2023,G2.2,Bollywood,176.0
top_genres_for_tracks_released_in_2023,G2.6,African Hip-Hop/Rap,12933.0
top_genres_for_tracks_released_in_2022,G2.7,Cantopop,637.0
top_genres_for_tracks_released_in_2022,G2.7,Big Band,3038.0
top_genres_for_artists_created_in_2023,G2.2,R&B/Soul,20959.0
top_genres_for_artists_all_time,G2.1,Soundtracks,116216.0
top_genres_for_tracks_released_in_2022,G2.7,Alternative Rock,201820.0
top_genres_for_tracks_released_in_2022,G2.7,Electronic,465141.0
top_genres_for_tracks_released_in_2022,G2.7,Folk,51779.0
top_genres_for_tracks_released_in_2022,G2.7,Easy Listening,63511.0
top_genres_for_artists_created_in_2023,G2.2,Rockabilly,26.0
top_genres_for_tracks_released_in_2022,G2.7,Spoken Word,5078.0
top_genres_for_artists_created_in_2023,G2.2,Latin,1290.0
top_genres_for_tracks_released_in_2022,G2.7,Sertanejo,1.0
top_genres_for_tracks_released_in_2023,G2.6,Arabic Dance,42.0
top_genres_for_tracks_released_in_2022,G2.7,Arabic Rock,4.0
top_new_artist_genre_growth_2022_to_2023,G2.4,Alternative Rock,232.65103299999998
top_genres_for_tracks_released_in_2022,G2.7,Rock,378269.0
top_genres_for_tracks_released_in_2023,G2.6,Schlager,1473.0
top_genres_for_artists_all_time,G2.1,New Age,100323.0
top_genres_for_tracks_released_in_2022,G2.7,R&B/Soul,255796.0
top_genres_for_artists_created_in_2023,G2.2,Indian,1838.0
top_genres_for_tracks_released_in_2023,G2.6,Industrial,1690.0
top_genres_for_artists_created_in_2023,G2.2,Psychedelic,98.0
top_genres_for_tracks_all_time,G2.5,Soundtracks,1220151.0
top_genres_for_tracks_all_time,G2.5,Rock,6956543.0
top_genres_for_artists_created_in_2023,G2.2,Doo Wop,3.0
top_genres_for_tracks_released_in_2023,G2.6,Latin Hip-Hop/Rap,34485.0
top_genres_for_tracks_released_in_2023,G2.6,Indian,62313.0
top_genres_for_tracks_released_in_2023,G2.6,Musicals,2092.0
top_genres_for_tracks_released_in_2023,G2.6,Techno,40307.0
top_genres_for_artists_created_in_2023,G2.2,Dance,27324.0
top_genres_for_artists_all_time,G2.1,Pop,898850.0
top_genres_for_artists_all_time,G2.1,Classical,296311.0
top_genres_for_tracks_released_in_2022,G2.7,Hard Bop,47.0
top_genres_for_tracks_released_in_2023,G2.6,African Pop,2941.0
top_genres_for_tracks_released_in_2023,G2.6,Country,45753.0
top_genres_for_artists_created_in_2023,G2.2,Easy Listening,1858.0
top_genres_for_tracks_released_in_2023,G2.6,Cantopop,449.0
top_genres_for_tracks_released_in_2022,G2.7,Indian Pop,10074.0
top_genres_for_artists_created_in_2023,G2.2,Arabic Rock,3.0
top_genres_for_artists_created_in_2023,G2.2,Indian Hip-Hop/Rap,161.0
top_genres_for_tracks_released_in_2022,G2.7,African Pop,2487.0
top_genres_for_artists_created_in_2023,G2.2,African Rock,7.0
top_genres_for_tracks_released_in_2023,G2.6,Bachata,2.0
top_genres_for_tracks_released_in_2022,G2.7,Indie Pop,16007.0
top_genres_for_artists_all_time,G2.1,House,228847.0
top_genres_for_artists_all_time,G2.1,Reggae,127957.0
top_genres_for_artists_created_in_2023,G2.2,Soft Rock,51.0
top_genres_for_tracks_released_in_2022,G2.7,Latin Rock,2202.0
top_genres_for_artists_created_in_2023,G2.2,Orchestral,159.0
top_genres_for_tracks_released_in_2023,G2.6,Holiday,13815.0
