CREATION_DATE,DAILY_TRACK_COUNT
2022-09-01,120209
2022-08-31,143006
2022-08-30,132553
2022-08-29,110678
2022-08-28,111821
2022-08-27,118177
2022-08-26,134730
2022-08-25,119163
2022-08-24,115325
2022-08-23,109509
2022-08-22,119315
2022-08-21,120580
2022-08-20,116483
2022-08-19,120022
2022-08-18,98299
2022-08-17,109073
2022-08-16,103102
2022-08-15,122299
2022-08-14,123213
2022-08-13,138927
2022-08-12,135548
2022-08-11,121499
2022-08-10,129983
2022-08-09,141967
2022-08-08,124965
2022-08-07,127401
2022-08-06,211930
2022-08-05,261582
2022-08-04,194596
2022-08-03,140781
2022-08-02,166625
2022-08-01,150465
2022-07-31,139592
2022-07-30,145006
2022-07-29,152387
2022-07-28,149099
2022-07-27,129201
2022-07-26,111173
2022-07-25,115618
2022-07-24,131164
2022-07-23,134465
2022-07-22,165734
2022-07-21,150273
2022-07-20,128957
2022-07-19,116745
2022-07-18,132648
2022-07-17,88234
2022-07-16,63034
2022-07-15,28746
2022-07-14,21047
2022-07-13,19013
2022-07-12,13542
2022-07-11,16258
2022-07-10,21050
2022-07-09,21619
2022-07-08,28931
2022-07-07,22671
2022-07-06,17935
2022-07-05,17257
2022-07-04,17138
2022-07-03,21118
2022-07-02,24893
2022-07-01,27310
2022-06-30,26618
2022-06-29,22712
2022-06-28,26895
2022-06-27,23665
2022-06-26,28617
2022-06-25,24278
2022-06-24,28579
2022-06-23,23009
2022-06-22,23035
2022-06-21,22648
2022-06-20,23046
2022-06-19,25089
2022-06-18,25826
2022-06-17,32557
2022-06-16,28855
2022-06-15,19438
2022-06-14,16150
2022-06-13,20854
2022-06-12,19368
2022-06-11,21091
2022-06-10,26817
2022-06-09,24321
2022-06-08,28027
2022-06-07,25857
2022-06-06,27304
2022-06-05,26059
2022-06-04,32174
2022-06-03,34479
2022-06-02,22105
2022-06-01,21263
2022-05-31,21908
2022-05-30,26300
2022-05-29,30604
2022-05-28,11627
2022-05-27,28982
2022-05-26,19115
2022-05-25,26732
2022-05-24,28365
2022-05-23,24506
2022-05-22,21777
2022-05-21,31231
2022-05-20,65773
2022-05-19,89005
2022-05-18,80172
2022-05-17,89794
2022-05-16,119693
2022-05-15,121938
2022-05-14,130530
2022-05-13,129068
2022-05-12,146314
2022-05-11,203783
2022-05-10,143824
2022-05-09,122461
2022-05-08,123449
2022-05-07,123720
2022-05-06,130109
2022-05-05,123596
2022-05-04,114621
2022-05-03,108055
2022-05-02,113657
2022-05-01,99977
2022-04-30,104884
2022-04-29,104892
2022-04-28,62090
2022-04-27,87275
2022-04-26,83928
2022-04-25,81570
2022-04-24,89808
2022-04-23,94044
2022-04-22,87109
2022-04-21,80356
2022-04-20,70317
2022-04-19,71018
2022-04-18,51244
2022-04-17,18514
2022-04-16,24023
2022-04-15,25743
2022-04-14,18744
2022-04-13,19423
2022-04-12,11170
2022-04-11,13805
2022-04-10,15511
2022-04-09,16638
2022-04-08,24655
2022-04-07,19192
2022-04-06,15428
2022-04-05,15854
2022-04-04,47339
2022-04-03,96049
2022-04-02,120676
2022-04-01,119060
2022-03-31,128491
2022-03-30,136381
2022-03-29,121351
2022-03-28,120316
2022-03-27,123889
2022-03-26,131798
2022-03-25,140097
2022-03-24,141604
2022-03-23,131799
2022-03-22,137672
2022-03-21,144492
2022-03-20,153020
2022-03-19,155550
2022-03-18,143918
2022-03-17,173148
2022-03-16,209524
2022-03-15,319321
2022-03-14,167541
2022-03-13,141622
2022-03-12,117512
2022-03-11,146791
2022-03-10,126208
2022-03-09,124172
2022-03-08,92617
2022-03-07,40289
2022-03-06,42405
2022-03-05,50033
2022-03-04,44404
2022-03-03,45070
2022-03-02,114742
2022-03-01,138378
2022-02-28,110062
2022-02-27,107692
2022-02-26,135049
2022-02-25,162573
2022-02-24,134236
2022-02-23,112399
2022-02-22,123293
2022-02-21,145150
2022-02-20,164170
2022-02-19,137485
2022-02-18,45489
2022-02-17,33157
2022-02-16,61455
2022-02-15,20273
2022-02-14,14640
2022-02-13,13856
2022-02-12,19626
2022-02-11,22037
2022-02-10,13819
2022-02-09,11041
2022-02-08,14627
2022-02-07,13960
2022-02-06,16155
2022-02-05,26905
2022-02-04,37625
2022-02-03,90400
2022-02-02,111885
2022-02-01,92036
2022-01-31,21343
2022-01-30,47643
2022-01-29,77671
2022-01-28,120234
2022-01-27,196551
2022-01-26,247268
2022-01-25,346023
2022-01-24,427146
2022-01-23,735954
2022-01-22,1075979
2022-01-21,147901
2022-01-20,18754
2022-01-19,21198
2022-01-18,25919
2022-01-17,23437
2022-01-16,22517
2022-01-15,29883
2022-01-14,36280
2022-01-13,19056
2022-01-12,26961
2022-01-11,48065
2022-01-10,16385
2022-01-09,81
2022-01-08,24114
2022-01-07,30903
2022-01-06,23023
2022-01-05,22096
2022-01-04,152340
2022-01-03,191564
2022-01-02,197
2022-01-01,180
